Text,Review-Activity,Season
"hiking, going to the beach, going up north",ACTIVITY,SUMMER
"Hiking, holidays, and watching the leaves change color.",ACTIVITY,FALL
Walking  Photography   Ice skating,ACTIVITY,WINTER
"Pretty but empty: One day in the USA there will be a revolution in entertainment. At that time we'll discover how good it feels actually to use our brains for something other than passive, thoughtless goggling at spectacles. But until then we'll continue to get things like this. Very pretty pictures, potentially an amazing set of stories, reduced to ""wow, would you look at that"" cliches.This DVD is a melange of clips from Apollo VIII onwards, strung together as though it were all one disjointed mission. The footage itself is of course incredibly beautiful but there is a paucity of intellectual content. Very little information, less explanation of history and context, and ultimately it's junk food for the mind.With the footage available a really interesting",REVIEW,NOT APPLICABLE
Sledding   Making Snow Men  Snow Ball Fights,ACTIVITY,WINTER
A brilliant novel which I could not put down: I would have given it 5 stars had it not been so long with so many spaces between the action sequences. I agree with other reviewers that it could have been written in 400-500 words instead of 700.,REVIEW,NOT APPLICABLE
"Silly: It is hard to understand why some want to see evolution as such a big issue. Christians would be better of letting it go and fight other battles. This book illustrates how pointless it is. If you reject evolution you have to reject 1. The theory of continental drift 2. The big bang theory 3. Carbon dating 4. Most contempory Geology 5. Most modern theories relating to the universeThe only people who fight evolution are those who have no knowledge of the implication of what they are doing. That is rejecting most of what is our modern understanding of the world.Religion can exist with evolution but when it rejects it, it puts itself in luny land.",REVIEW,NOT APPLICABLE
"Camping, swimming, travel",ACTIVITY,SUMMER
"watching tv, sleeping, eating take-out",ACTIVITY,WINTER
Playing volleyball   Visiting family  Visiting museum,ACTIVITY,SUMMER
"Sylvania 6620LDG 20"" Flat Panel LCD TV with Built in DVD player: Light weight, space saving very attractive design. Sharp Picture, Good sound quality and quick response time. DVD playback also excellent. Only negative is its remote control. It is hard to read the functions of the keys due to color choices. The placement of the keys are almost illogical and you have to look at it carefully before each use. It almost seems like it was designed by an imbecil. The quality, the features and the price still makes this TV an excellent buy.",REVIEW,NOT APPLICABLE
Hiking  Reading  Bowling,ACTIVITY,WINTER
Hiking  Running  Swimming,ACTIVITY,SUMMER
"A viewer: O.K., I've tried to write this review 4 times and each one sounds more pretentious then the last. Bottom line - this is a good movie. 'Stir of Echoes' sets the mood quickly. In my case, uneasiness and in my wifes case, a sense of dread. The movie depicts an apparently normal blue collar family whose son talks to a dead girl. Dad (Bacon), after being hynotized at a party, starts having strange and horrible visions; he also starts seeing the ghost of the same dead girl in his living room; a ghost that wants something. 'Stir of Echoes' deserves to stand on it's own and not be compared to 'The Sixth Sense.' I personally think 'Stir' is better. If you failed to see this movie because you thought it was a ""Sixth Sense' rip-off, do yourself a BIG favor",REVIEW,NOT APPLICABLE
"Nifty Taylor: Taylor Swift in the newest sensation in the country music industry and her music is a ""nifty"", special sound!Negative, the case came damaged.",REVIEW,NOT APPLICABLE
"HA!: I'm sorry, I just had to say that was the funniest review I have read in a long time. I despise this album, too. A bunch of crappy remix work without any original signature to it.",REVIEW,NOT APPLICABLE
Playing outside  Bonfires  Watching a good movie,ACTIVITY,WINTER
"i agree with everyone else: I agree with the other reviews. She writes a rape sence and then decides that that person will be a good hero in another book??? I have to admit I'm courious to know how she pulled that off in the other book "" Oh, btw my sweet, I fathered a child by another women who's now married to someone else because I had kinda of brutally raped her in front of people...but I would never to that to you, Oh no its only a one time thing!""cant really blame it one how women were treated then ethier I mean her books are not that researched. The Muslim women in the book was amazing too, i just rolled my eyes at that!I hated this book.",REVIEW,NOT APPLICABLE
"Hiking, swimming, and nightly activities",ACTIVITY,SUMMER
"Sort of stinks like Rubber Cement: Dap Seal 'n Peel Caulk works like a charm! As most reviews claim it stinks. All I could think in my head while I was using this stuff was Rubber Cement! It stinks like rubber cement, and looks like rubber cement. Of course it probably is just rubber cement with more bulk and less sticky. But it really does work well and is way easier to put together than those blasted foam weather seals. At 5 bucks a pop I was leery too, but it was save you that much in 1 winter with today's utility prices. It will cover at least 4 windows.. so doing the math that's a $1.25 per window.. you can't even put that plastic wrap junk on your window for that cheap. Buy it now, you will not regret it.",REVIEW,NOT APPLICABLE
Carving pumpkins   Ice skating  Apple picking,ACTIVITY,FALL
"A turning point for SB: Ok, this was my very first SB album. I purchased it soon after the original release. It wasn't until later that I found their earlier work such as Street Corner Talking (my favorite). HT is a perennial LP and a must-have for any fan of early British Blues-rock. The album is a little dark (they way it was intended). Put it on, play it, and play it again.",REVIEW,NOT APPLICABLE
Snowboarding   Sledding  Mountain climbing,ACTIVITY,WINTER
curling up in a warm blanket  drinking hot chocolate  new lineup on tv,ACTIVITY,FALL
boating camping hiking,ACTIVITY,SUMMER
Disgusted!: I am totally annoyed. I STILL have not received this product and my credit card has been charged.,REVIEW,NOT APPLICABLE
"Fun, getting high and working",ACTIVITY,FALL
Snow  fireplace  cooking,ACTIVITY,WINTER
Reading  Napping    Baking,ACTIVITY,WINTER
golf   Fishing  Watching football,ACTIVITY,FALL
Pumpkin patches  pole picking  Albuquerque Balloon fiesta,ACTIVITY,FALL
"good show: If you like Desperate Housewives this season is as good as any. If you haven't watched it, start at the beginning, it is a funny show.",REVIEW,NOT APPLICABLE
Halloween   Hunting  Raking leaves,ACTIVITY,FALL
"Cut-price DVD cuts book to shreds: worst film of the century!: For three tedious hours this bad home movie follows the book blindly and at excruciating length. It doesn't do it remotely well, but if you really like Wells and can overlook everyone in this film not knowing what they're doing, that might just be enough to get you through it. But then they run out of money, ignore the entire last third of the book and hurriedly add a tacked-on ending from near the end of the book (not even the proper end of the book) in the hope no-one will notice!A bad joke, this is even worse than The Island of Dr Moreau. This people have no business making this kind of excuse for a film, let alone selling it to unwary sci-fi fans. Avoid at all costs!!!",REVIEW,NOT APPLICABLE
working out   vacation  going them park,ACTIVITY,SUMMER
Thanksgiving  Apple picking  Playing outside,ACTIVITY,FALL
Sledding   Caroling   Shopping,ACTIVITY,WINTER
"A Lighthouse to keep us heading South.: Mr. Buffett has truly mastered the Art of Life and Really Livin' it! And he brings that adventure and fun on the beaches to us ""Land Locked Mountain Folk"". Jimmy is constantly amazing me!Ya gotta have a role model somewhere, and he's been mine since '79. Back when I was ""Just tryin' to reason with hurricane season"". I guess we all are. Keep up the greatness! Your my inspiration! Thanks!",REVIEW,NOT APPLICABLE
"Pumpkin picking, raking leaves, apple cidar.",ACTIVITY,FALL
"Swimming beach fun , traveling for leasure",ACTIVITY,SUMMER
"Conflicted: This book has some amazingly well written passages, especially the one that describes her father's condition at the end of his life. I am a writer and a follower of Christ, so this book left me conflicted as to what to think of it because of how flippant she is with the name of Jesus. At one point she talks about wondering if Jesus would want to drink a bottle of gin, and although there are probably a lot of you reading this who think ""So what?"", it really angered me that she claimed to be a follower of Christ but then threw his name around in disregard. She also says that she supports abortion theoretically and politically, and again if she is a true follower of Christ she would know how much he loves children and would never want to harm them",REVIEW,NOT APPLICABLE
sleding sking skateing,ACTIVITY,WINTER
"finger hold tally counter: I received the product ordered very quickly and it was so easy to order. I had to order 4 of them one at a time due to my husband having his and others wanting to have one too. He needed his to count loaded logs on his truck. I could see exactly what was being ordered, price, time it would take to arrive, etc. Needless to say it was exactly what was needed. Thank you.",REVIEW,NOT APPLICABLE
"Guerilla City is Guerilla Predicable.: Guerilla City is just another woeful and silly attempt to cash in on ready to die the 1994 late notorious b.i.g. classic that made him a star and made him real, not it's just a gimmick with instead of brooklyn, this time it's set in the compton with guerilla black embarrasses himself with poor lyrics, and some good beats.This and the documentary should never be called the savior of the west coast rap.If you want a real west coast album pick up xzibit's weapons of mass destruction.This Album is so awful, it makes even faith evans look jealous, too bad she isn't listening to this.Music Rating *1/2 Stars.Thumbs Down",REVIEW,NOT APPLICABLE
Fires   Hot chocolate  Walking,ACTIVITY,WINTER
"Bunn Coffee Brewer: I like the fact I have coffee in a few minutes, but I have to agree with others if you pour too quickly, the pot leaks! Surely someone could redesign the pot!",REVIEW,NOT APPLICABLE
"Halloween, thanks giving, and Christmas",ACTIVITY,FALL
Product as promised: The sporn halter was as promised. Less expensive than in the stores and it works -- it keeps my dog from pulling. I recommend it.,REVIEW,NOT APPLICABLE
"Watching the leaves change, black friday shopping, pumpkin",ACTIVITY,FALL
"The King and I Special Edition: I have always loved the film of THE KING & I especially Yul Brynner magnificent portrayal of the King, like in his Tony award winning Broadway peformance, and Deborah Kerr's great performance as Anna Leonowens, which along with FROM HERE TO ETERNITY, I think are two of the best performances she has ever given, but I have always regretted the songs that were cut out of the film, but are on the wonderful soundtrack album, MY LORD & MASTER, SHALL I TELL WHAT I THINK OF YOU and I HAVE DREAMED in particular, to celebrate the film's 50th Anniversary 20th Century Fox are to release on to DVD a special edition of the film according to THE RODGERS & HAMMERSTEIN ORGANISATION, in spring 2006, I very much hope some or all of these missi",REVIEW,NOT APPLICABLE
staying at home  keeping warm  not going out,ACTIVITY,WINTER
"I like watching nfl football, nhl hockey and spending time with my family.",ACTIVITY,WINTER
"hanging with friends and family, walking, drinking beer",ACTIVITY,SUMMER
Thanksgiving dinner  San Francisco Open Studios  Walking through the fallen leaves with the dogs,ACTIVITY,FALL
Holliday's  Food  Family festivities,ACTIVITY,FALL
"My three favorite summer activities are as follows, I love to cook / grill outdoors, go swimming in the river and take my canoe out on the river.",ACTIVITY,SUMMER
"I love to go skiing, sledding, and snowmobiling.",ACTIVITY,WINTER
"Pumpkin patches, trick or treating, making smotes,",ACTIVITY,FALL
"Going to the beach, going to a beer garden and going dancing",ACTIVITY,SUMMER
"Start Here: I have had this tablet for 4 years and have never once had a problem. The make feels a little cheap at first, but I bike it to and from my studio, sometimes daily, and it has held up great. I use it professionally (and recreationally) for graphic design, photo touch up, and light illustration. So it has been used almost daily it's whole life.That said, it is finally starting to act a little glitchy. But after four years, and for fiddy bucks, I can't complain.If you are thinking about trying out a graphic tablet, this one is cheap, lasts, and works great. Or maybe mine was forged by Zeus himself and is an anomaly. I don't know, but I definitely recommend this.",REVIEW,NOT APPLICABLE
"Beautiful Book: This book is stunning...the excellent color photographs are enhanced by the high quality paper used for printing. I buy many books with photographs, hardback and softcover, and this is one of the most beautiful.176 pages of interesting reading, descriptions and pricing, and page after page of eye candy. The book is very well written: all the factual information that is necessary in determining the value of the items as well as personal experiences and humor to save the reader from the mundane.",REVIEW,NOT APPLICABLE
"Peter Gabriel's Millennium Show: Despite not hearing his distinctively soulful voice on most tracks, Ovo still sounds like a Peter Gabriel album. In fact, Peter sings lead vocal on only two songs (Father, Son and Make Tomorrow). The rest of the songs are sung by guests. But, all the tracks on this CD were written by Peter and convey his highly-personal vision of cross-cultural soundscapes.Ovo sounds like a blend between Security and his last album Us (1992). It contains similar rhythmic patterns found on songs like San Jacinto and The Rhythm Of The Heat (from Security) as well as lyrical content along the lines of Washing Of The Water or Come Talk To Me (from Us).Ultimately, Ovo is for Peter Gabriel and world-hybrid music fans. There are no attempts at hit",REVIEW,NOT APPLICABLE
Beach sunning traveling,ACTIVITY,SUMMER
"Reading, Holiday parties, binge watching shows",ACTIVITY,WINTER
"Cycling, hiking, and going to the state fair are my three favorite summer activities.",ACTIVITY,SUMMER
"This Album has it All: The Proximity Effect was the soundtrack to my freshmen year in college and has remained in my music rotation since then. As the title suggests, this is an one of the best ""complete, cohesive"" albums I've listened to. From driving rock (Hyperspace, Firecracker, Slow Down) to the introspective (Troublemaker, 80 Windows) to sublime songs that arrest you on the first listen (Bacardi, Spooky, Robot). It will make you shake you a**, bob your head and most of all sing along with a smile on your face.",REVIEW,NOT APPLICABLE
"WALKING IN THE WOODS, RIDING IN THE MOUNTAINS, EATING FRESH APPLE PIE",ACTIVITY,FALL
"Hunting, basketball, fires",ACTIVITY,WINTER
Movies baking cookies,ACTIVITY,WINTER
It's just OK: This printer is ok if you just need to do basic printing.I bought it from best buy 2 months ago to print cd labels and other labels.the printer can not line up the labels correctly.There is also something weird about having to put the labels in face down. I used the fax machine feature and it worked ok. I also printed out some web pages and that was ok. the quality of the printing is fine it's just that you can't do any precision work.I would not buy this printer and in fact i am trying to figure out how to get rid of mine without losing to much money. then again i guess i can always just use it as a fax machine.,REVIEW,NOT APPLICABLE
Ice skating  Holidays  Traveling,ACTIVITY,WINTER
planning the garden for next spring  Holidays with family  catching up on  indoor redecorating etc,ACTIVITY,WINTER
"Ho-Hum: How can I put this...Oh yeah don't waste your money!What you can expect from this movie is the same thing you expect out of most horror films...a big yawn! I love to watch a truly scary movie and ghost just happen to be my favorite scary topic; but this movie just didn't cut it. If anything it made me wish I hadn't eaten my dinner before I went. I will admit that the movie did get a rise out of me once, but in general I slept pretty well that night...trust me that's not a good sign!If you are looking for a truly scary ghost story I would recommend you see ""The other"" staring Nicole Kidman.",REVIEW,NOT APPLICABLE
Indiana Jones: Good DVD. I was glad I could order online since I live 30 minutes from the closest place to buy it and it is always cheeper on Amazon.,REVIEW,NOT APPLICABLE
Super Gift: I love this charm and I am looking forward to giving it to my Husband for Christmas. I liked this charm so much that I also bought a necklace from the same company. All of the items that I have received from my husband from Silver Insanity have been quality pieces. All of the items from this company are not only high quality but they are also a great price. If you are looking for Silver Jewelry on Amazon I suggest you check out this company.,REVIEW,NOT APPLICABLE
"Who wants to pay good money for 13 year old information: I was so disappointed in this book that I have decided not to buy What to Expect when You're Expecting. It seems like people have learned a lot about nutrition in the past 13 years - but you won't find it in this book! A particularly egregious example is when they claim that you will need to combine proteins if you eat a vegetarian meal. I don't think that was believed in 1986, let alone today. I have absolutely no faith in these authors or their information.",REVIEW,NOT APPLICABLE
Netflix  Sleep  Movies,ACTIVITY,WINTER
One good song: Zoot Suit Riot is great. The rest almost put me to sleep. I liked Setzer's CD a lot more.,REVIEW,NOT APPLICABLE
"Quality?: Sure, it LOOKS like the original, and IS a cheap replacement. The mirror wiggles incessantly. So much that I want to smash it with a bat just to calm my irritation of the constantly moving mirror image. It looks just like the original, but sure doesn't feel like it. It's much flimsier plastic. It DOES fold back just fine. For the price its a barely acceptable replacement for the original.",REVIEW,NOT APPLICABLE
"Basketball, Video Game, and watch movie",ACTIVITY,SUMMER
MISLEADING DESCRIPTION!: I actually can't rate this product because it only works with Ipods! Although the description didn't mention that! So Im stuck with it now!,REVIEW,NOT APPLICABLE
Making Art  Watching videos  reading,ACTIVITY,WINTER
Swimming. Camping. Music festivals,ACTIVITY,SUMMER
Walking hiking resting,ACTIVITY,WINTER
"Highly recommend this book!: Love this book! Easy to read, understand, and I enjoy how the workouts vary from day to day. It takes me about an hour to go through the whole thing, as you need to make sure you are focusing on doing the workouts properly, as opposed to just rushing through the reps. I always feel great afterwards and I appreciate that the author takes into consideration how a beginner should start out and then increase the challenge over time. It's also nice that it only requires basic equipment and minimal space. I'm not getting married anymore and I still love this book. My only complaint is the same as many of the other reviewers... the binding really should be spiral bound. It's not THAT much of a hassle as I use a bookmark to track what",REVIEW,NOT APPLICABLE
Where is the London FAME?: I saw this show first on the West End and thought it was okay. They singing was decent. I just got this recording and was VERY disappointed. The recording was even technically bad. If you ever get a chance to hear the London Cast you will note the difference.,REVIEW,NOT APPLICABLE
Basketball  Soccer  Track,ACTIVITY,FALL
yard work  pumpkin patch  firepit,ACTIVITY,FALL
CASH MONEY AND NO LIMIT ARE THA SAME THANG!: THERE BEATS ARE DIFFERENT THAN NO LIMITS BUT THERE FROM THA SAME PLACE AND THERE GHETTO HOOD IS VERY CLOSE.THEY RAP JUST LIKE NO LIMIT.BUT NO LIMIT WAS FIRST AND IT WILL BE THA LAST.NO LIMIT IS STILL NUMBER1 IN EVERY WAY.,REVIEW,NOT APPLICABLE
Cozying up with a god book  Go for later afternoon walks  Baking,ACTIVITY,FALL
"I'm impressed: I have to be honest,I was on the fence about buying this album.I'm NOT a big Britney fan but I don't hate her either.The reviews for this left me even more confused.The die hard Britney fans,of course,would give it a 4 or 5 stars.The people who gave it a 1 or 2,probably didn't listen to it to or didn't give it a chance because they didn't like Britney to begin with.After much debate,I finally bought it.I am very surprised!I really like this cd.It has a lot of great club hooks like Breath on me and Outrageous.Some R&B flavor with showdown and the hook up.She slows it down a bit with everytime.This is definitley a cd u put in and don't need to skip songs.Very happy I bought it.",REVIEW,NOT APPLICABLE
"Great Read: Yes it has it's points of being slow, but all in all it was a wonderfully written novel. I truly enjoyed it!!",REVIEW,NOT APPLICABLE
swimming beach shoppong,ACTIVITY,SUMMER
"MUST SEE!!!: When I sat down to watch this video I didn't think it would be more than just a chick flick. I was VERY surprised!! It has a great lesson in it of choosing your own path even if it's not the popular choice. Also it shows what determination, practice, & discipline can get you. It also shows the bonds of friendship. I would definitely watch it again.",REVIEW,NOT APPLICABLE
I do not have any,ACTIVITY,FALL
Hiking  Picnicking  Sunbathing,ACTIVITY,SUMMER
"Definitive Version of Tarantino's classic 1992 debut crime thriller...: If you are a fan of this film, but the 15th anniversary edition now. I don't care if you already own the original DVD version or the 10th anniversary, this has far better picture quality and the audio is better. The extras are pretty much the same as the ones on the 10th, although the 10th has a little more. Anyways this is the third time I have bought this movie on DVD and its worth every dime. Best version of Reservoir Dogs on DVD.",REVIEW,NOT APPLICABLE
christmas thanksgiving halloween,ACTIVITY,FALL
"Skiing, snowboarding, building snowmen",ACTIVITY,WINTER
"hiking, going to the beach, eating",ACTIVITY,SUMMER
Pumpkin patches  Hay rides  Halloween,ACTIVITY,FALL
"Reading, watching TV, and bundling up",ACTIVITY,WINTER
"Stimulating: We received this toy for a gift for my 3-1/2 year old, and he loves it! He loves puzzles, and immediately figured out how to manipulate the pieces to fit the diagrams He never tires of it, although he'll occasionally get frustrated if the pieces slide out of place on the diagram. The pieces are very well made with no sharp edges. My only complaint is that it only comes with 4 patterns, and the cardboard ""form"" isn't very durable. Excellent choice overall, though!",REVIEW,NOT APPLICABLE
"No Tech support: I bought a Jamcam 3.0 in Dec. of 2000 and it worked for about 6 months. Now when I try to download I get a message that says ""An error occured while downloading picture from camera, please try again"". I can't get tech support electronically, so called the number for help in the book. I got the message, ""This number is not in service"". What do I do now? Throw the camera away???",REVIEW,NOT APPLICABLE
Soccer  Pumpkin Carving   Seasonal Cooking,ACTIVITY,FALL
"Reading, snow shoveling, decorating for Christmas",ACTIVITY,WINTER
Football leaves cold,ACTIVITY,FALL
"Doesn't meet my needs: After a trip to San Francisco and finding dim sum much more expensive than the last time I was there, I decided to buy this book. It fell short of my expectations for traditional american chinese restraurant dishes. Way overrated by other reviewers.",REVIEW,NOT APPLICABLE
"Really great music!: I love listening to this CD over & over. Erentxun's voice is one of those scratchy, badass voices & his songs are full of passion & soul. Definitely a great CD.",REVIEW,NOT APPLICABLE
Drinking coca and watching movies and talking with family,ACTIVITY,WINTER
watching football on tv  cool weather  colored leaves,ACTIVITY,FALL
"Stay Away from The Forest: Im only giving this 2 stars cause i was able to get thru it, this is definitly not something that any slasher fan would wanna watch twice, like Dont go in the woods or Just before dawn, the forest is the worst woods slasher of the bunch, no real gore , no good death scenes, and a ridiculous plot about a man who kills his cheating wife and takes his children to go live in a cave in the woods, eventually the kids kill themselves and the lonely man kills campers for food we see no real canniblism except what appears to be a pot roast on a spick thats supposed to be human, the campers are guided to safety by the ghosts of the mans children its pretty lame, slasher fans pass whoever said this was classic is just hype dont believe the",REVIEW,NOT APPLICABLE
"Gets you exercising: I have been trying to lose weight, and of course, you need to exercise. I had a treadmill and it was all I could do to get myself on it. Well, I have a Gazelle now and exercise on it everyday. I have lost 20 lbs and it is easy to use. I know people that go to the gym (where the equipment is expensive) probably don't like this piece of equipment, but for the rest of us that need 30 minutes of exercise compared to none, it is the way to go.",REVIEW,NOT APPLICABLE
Camping   Out doors  BBQ,ACTIVITY,SUMMER
Hiking  Bird watching  Watching changing color leaves,ACTIVITY,FALL
swimming  jet ski  bbq,ACTIVITY,SUMMER
beach; vacation; craft,ACTIVITY,SUMMER
cvsnxdf: a very good action movie. a lot of great car chases and shootouts. also a funny movie. the exta features are not very good.,REVIEW,NOT APPLICABLE
"Hiking, baking, watching tv",ACTIVITY,FALL
"My three favorite fall activities are visting a pumpkin patch, carving pumpkins and hiking.",ACTIVITY,FALL
"aim low: Although there are good poems in here, and good authors, Astley is intent on dumbing down poetry - this book aims for the lowest common denominator possible, and then digs deeper. Astley's commentary and rants are opinionated and condescending. Poetry is far more alive and interesting than than this anthology suggests.",REVIEW,NOT APPLICABLE
"They keep breaking: I've bought 3 of these boxes and they are a great idea. However, after a few weeks the door jams and I can't open or close it.",REVIEW,NOT APPLICABLE
sledding  hiking  ice skating,ACTIVITY,WINTER
"Skills, Street Knowledge, Sincerity, Passion....: Straight like that..hiphop is back!..it's been back since Nas released the Qb's finest album of underground hard core rap..but now within a year he released 3 full length albums..Stillmatic, Lost Tapes and finally the cream of the crop God's Son...Honestly there's not much to say except..it's a classic his 3rd in a row and he has solidified his position as one of the greatest rappers of all time...Nasir Jones has raised the bar again, setting a standard that artist cannot reach...It's time to give it up..He's the best bar none...he's had the album of the year for 2 years straight now...c'mon..he's got verses better than rappers albums...Nas is crazy...street knowledge, book knowledge, sincerity, honesty, pa",REVIEW,NOT APPLICABLE
extremely dissipionting: I thought this movie was supposed to be good it [stinks]. it was full of cliches and [bad] songs that they stole fom other places. It was stupid and really ... if i could give it zero stars i would. I think it is the biggest ... mistake that this movie is nominated for best pictue come on it a complete joke.,REVIEW,NOT APPLICABLE
"sleigh, snowman, walking",ACTIVITY,WINTER
1. halloween  2. Pumpkin patches  3. Football games,ACTIVITY,FALL
Traveling  Volunteering  relaxing,ACTIVITY,WINTER
"5000 series cutter blade: blade hard to snap in place, not as sharp as the original blade also if you turn blade to rinse it it pops out. the price is good, but i think you should replace the foil & the blade but that costs $25 to $35.HH",REVIEW,NOT APPLICABLE
"Great for the bar!: These are fairly small and may not be of professional quality, but they are the only darts I use at my bar. We have darts in almost constant use, so we needed some that are very durable. After going through hundreds of ""better"" darts, we found that these last much longer that traditional darts, and I haven't seen much a difference in performance. Highly recommended.",REVIEW,NOT APPLICABLE
"Russell at his best: In my opinion, the movie that made Russell Crowe's career as an action/epic star.His acting is solid, believable, and heartfelt. The story is gripping, with the fallen leader rallying his fellow gladiators to freedom.Action scenes have great replay value. Sometimes I just fast forward straight to the epic battle scenes. Amazing film work!",REVIEW,NOT APPLICABLE
"play soccer, read",ACTIVITY,WINTER
"As good as lovestories get: Before Harry ever met Sally this film supurbly tells the story of an unlikely match that in the end has to work. Building on a huge history of Amercan films where the guy in the end always gets the girl, you always find yourself arguing with people who think there's no drama in that. But if a film tells the story like this with outstanding performances from Dreyfuss and Mason I'm sold anyway.",REVIEW,NOT APPLICABLE
"Great Film with disclaimer: This movie was great! It has tons of symbolism: Oskar not growing up reflects the stunted society of Germany after the First World War was until after the Second World War, when Oskar began to grow. Oskar protests social aspects of Germany through his drum and voice. Unfortunately the movie is extremely disturbing at times. If you are unable to forgive some of the harsher scenes in the movie, there are plenty, you will not be able to appreciate the film.",REVIEW,NOT APPLICABLE
"Walking at the park, visiting museums, and cooking",ACTIVITY,FALL
"snow shoeing, sledding and skiing",ACTIVITY,WINTER
Nothing because I hate summer.,ACTIVITY,SUMMER
"Does'nt feel good on the face: This product feels like grain on the face, I don't care for that feel. They should improve that. Other wise I suppose it does the job.",REVIEW,NOT APPLICABLE
"I loved it: What a great movie. good time you have watchign this one.Its a one of a kind movie.if your a star wars or star gate fan like my girlfriend, you will truly like this movie. its the only sci-fi movie with ''sad'' part in it. really good movie suited for nearly anyone. watch this one with your girlfriend rather then your beer drinking pals.",REVIEW,NOT APPLICABLE
NO ENGLISH SUBTITLES: There are NO English Subtitles as it says there are in the DVD Features. I would think subtitles would be a pretty standard feature in DVD movies these days - Artisan Entertainment is just lazy I guess...,REVIEW,NOT APPLICABLE
Ice skating sledding and building a snow man,ACTIVITY,WINTER
"Run, jog and play volleyball",ACTIVITY,SUMMER
Thanksgiving  first snow  Halloween,ACTIVITY,FALL
Skiing sledding snowboarding,ACTIVITY,WINTER
Pumpkin patches    Fall maze festivals    Pumpkin pie contest,ACTIVITY,FALL
"Melodrama...and the emperor!: While this is an impressive work, it has many qualities that keep me from recommending it. Others have mentioned the dearth of dates for historical context. I will concentrate on the most aggravating quality of all.Ludwig's use of the present tense is an affectation that not only grates but casts doubt. Is this history or fiction? Combine this with his penchant for melodramatic exclamations and it frequently feels like you are on a ""living history"" bus tour with William Shatner as guide: ""Look! There comes Napoleon down the street! Now he will exact his revenge on Paoli. Never again shall they laugh at Bonaparte. Insolent fools!""The information can be insightful but I can't tell where the facts end and the fanciful editorializ",REVIEW,NOT APPLICABLE
being outdoors  football  vacation,ACTIVITY,FALL
Sledding  Snowball fighting   Snowboarding,ACTIVITY,WINTER
Eating out  Football  Family get togethers,ACTIVITY,WINTER
"Reading, working out, watching TV",ACTIVITY,WINTER
"Decorating, smells, Halloween",ACTIVITY,FALL
"flashlight: needs a lot of shaking to keep it going. once you do shake it a bit the light is bright, but still not the greatest product.",REVIEW,NOT APPLICABLE
"Not complete: I only received Volume B. I actually only needed Volume A but was willing to pay for both books to get it. But I didn't get it. I'm not very happy. The company won't respond to my email's either! Lousy,",REVIEW,NOT APPLICABLE
"Great Hair Dryer at a Great Price!: I must say I was skeptical about buying this hair dryer, but no more. For $20 it gets the job done beautifully. I have long curly and frizzy hair, and it normally takes me twenty minutes or more to dry my hair, but with this dryer it is done in 10 minutes. It also leave my hair feeling softer and much less frizzy that a normal dryer. I have only used it twice so far, but I am a happy customer. The only problem with this hair dryer is that the cord is about 10-12 inches too short, but I can deal with that for $20.",REVIEW,NOT APPLICABLE
Love the Movie But Hate the DVD!: I Love the movie but hate the DVD! How could they not have also released a widescreen version for Happy Gilmore?If this DVD also included a widescreen option I would give it 5 stars so Please also do a widescreen DVD!,REVIEW,NOT APPLICABLE
"halloween, horror movies cool weather",ACTIVITY,FALL
Spending the day with my family,ACTIVITY,SUMMER
Football,ACTIVITY,FALL
"Justification for all the things we really want to do!: Ms. Holland has provided me with extensive support for all of those guilty pleasures I too often deny myself. She tells me why I should enjoy going to work, playing tourist while on vacation, hanging around the house doing nothing, eating and drinking - an all around reckless life. I leave a copy of this book in my guest room and have awaken to chuckles and guffaws, and visitors with a renewed sense of indulgence. If you ever feel guilty, buy and read this book!",REVIEW,NOT APPLICABLE
Filter works great: I change this every six months and so far it has worked well. We have hard water here and with this filter all the water we drink tastes great.,REVIEW,NOT APPLICABLE
Walking  Taking a ride to the mountains to see the leaves colored  Building a camp fire,ACTIVITY,FALL
"Leaves falling,",ACTIVITY,FALL
"Great book on PNW: Tom has written another good practical book on the outdoors for those like us who really love the outdoors and needs this kind of book to turn to. It's a good and easy to understand book on the wildlife we all love in PNW. I'm sure anyone who picks up the book will agree with Tom that the outdoors is something that needs to be appreciated and protected. Tom's series of books are the tools I use when I go to the outdoors in the Western United States. When I go traveling outside the U.S. it's Fordors, Frommers and Lonely Planet.",REVIEW,NOT APPLICABLE
"walking, running, hiking",ACTIVITY,SUMMER
"Watching leaves change colors, watching the leaves fall, and most of all watching my neighbors try to keep their lawns free of leaves every other day.",ACTIVITY,FALL
Pumpkins leaves change hay rides,ACTIVITY,FALL
"I couldn't agree more with E. Burns!!!: This book was so bad I threw it in the recyling bin!!!!The author needs to read a copy of ""Female Chauvinist Pig"". I wish she would have read it before writing this book!",REVIEW,NOT APPLICABLE
"walking, photos, travel",ACTIVITY,FALL
"Major disappointment: I feel I am among the minority of people being happy with ""Ultimate Avengers"" movies from Marvel and Lionsgate, especially by the first one. Unfortunately, this outing has nothing to do with them. Neither the character of Tony Stark is the same, nor music, nor the visuals, neither the quality of the story, so I have second thoughts about getting ""Dr. Strange"" from the same studios.",REVIEW,NOT APPLICABLE
"Walks, drinking, just spending time outside.",ACTIVITY,FALL
"Should've bought Weather-Tech: These are made of cheap hard plastic but worst of all they refuse to stay where they belong. I thought the Husky liners were just a less expensive alternative to Weather-tech, WRONG! You get what you pay for I guess.",REVIEW,NOT APPLICABLE
